"STDR_YM_CD","SIGNGU_CD","IDEX_CD","IDEX_VALUE"
201812,11650,"A",59.3059854057405
201812,11590,"C",50.1508757982795
201812,11470,"D",42.9875479822349
201812,11350,"B",51.7735856660119
201812,11500,"C",48.3154261534778
201812,11305,"B",50.9814377084181
201812,11380,"B",54.4636866092592
201812,11200,"C",47.918821786398
201812,11260,"C",46.8162052131097
201812,11170,"D",41.0281463942192
201812,11410,"C",47.553332956768
201812,11620,"B",54.5841592455422
201812,11230,"B",52.8289448750821
201812,11140,"C",48.6197864808636
201812,11320,"C",45.3094092450423
201812,11545,"D",38.2452828687852
201812,11740,"A",65.544055394844
201812,11290,"B",53.0779002265524
201812,11110,"B",55.5348320113214
201812,11560,"C",45.0978819748693
201812,11680,"C",46.5386393258583
201812,11215,"A",58.0800077884104
201812,11710,"B",53.2389671220318
201812,11440,"C",50.3083416164631
201812,11530,"B",54.8727766571272
